"route_id","route_short_name","route_type","route_desc","route_color"
"1335","133E","3","Újpalota, Nyírpalota út / Nagytétény, Erdélyi utca","009FE3"
"1340","134","3","Szentlélek tér H / Békásmegyer, Újmegyeri tér","009FE3"
"1350","135","3","Soroksár, Kertvárosi körút / Millenniumtelep H","009FE3"
"1365","136E","3","Kőbánya-Kispest M / Fiatalság utca","009FE3"
"1370","137","3","Szentlélek tér H / Máramaros út","009FE3"
"1380","138","3","Csepel, Szent Imre tér / Budatétény vasútállomás (Campona)","009FE3"
"1390","139","3","Széll Kálmán tér M / Gazdagréti tér","009FE3"
"1400","140","3","Széll Kálmán tér M / Törökbálint, bevásárlóközpont","009FE3"
"1401","140A","3","Széll Kálmán tér M / Budaörsi lakótelep","009FE3"
"1402","140B","3","Budaörsi lakótelep / Törökbálint, bevásárlóközpont","009FE3"
"1410","141","3","Savoya Park / Kelenföld vasútállomás M","009FE3"
"1420","142","3","Széll Kálmán tér M / Határ utca","009FE3"
"1430","143","3","Békásmegyer H / Pince köz","009FE3"
"1440","144","3","Örs vezér tere M+H / Rákosszentmihály, Csömöri út","009FE3"
"1460","146","3","Újpalota, Nyírpalota út / Rákoskeresztúr, városközpont","009FE3"
"1461","146A","3","Cinkotai autóbuszgarázs / Rákoskeresztúr, városközpont","009FE3"
"1470","147","3","Újpest-Központ M / Megyer, Julianus barát utca","009FE3"
"1480","148","3","Kőbánya-Kispest M / Csepel, Soroksári rév","009FE3"
"1490","149","3","Széll Kálmán tér M / Fenyves utca","009FE3"
"1500","150","3","Újbuda-központ M / Budatétény vasútállomás (Campona)","009FE3"
"1510","151","3","Kőbánya alsó vasútállomás / Csepel, Határ utca","009FE3"
"1520","152","3","Csepel, Szent Imre tér / Csepel, Királyerdő út","009FE3"
"1530","153","3","Neumann János utca / Gazdagréti tér","009FE3"
"1540","154","3","Újbuda-központ M / Gazdagréti tér","009FE3"
"1542","154B","3","Neumann János utca / Gazdagréti tér","009FE3"
"1550","155","3","Széll Kálmán tér M / Zugligeti út","009FE3"
